,codigo_ocorrencia,classificacao,tipo,localidade,uf,pais,aerodromo,dia_ocorrencia,horario,sera_investigada,comando_investigador,status_investigacao,numero_relatorio,relatorio_publicado,dia_publicacao,quantidade_recomendacoes,aeronaves_envolvidas,saida_pista,dia_extracao,modelo,tipo_motor,equipamento,quantidade_motores,nivel_dano,categoria_aviacao,fase_operacao
42,30181,ACIDENTE,COM LANÇAMENTO DE CARGA,BRASÍLIA,DF,BRASIL,****,2007-08-09,17:30:00,SIM,SERIPA-6,FINALIZADA,A-041/CENIPA/2013,1.0,2013-08-22,5,1,,2016-07-30,AS 350 B2,TURBOEIXO,HELICÓPTERO,1.0,DESTRUÍDA,INSTRUÇÃO,PAIRADO
43,44858,INCIDENTE GRAVE,COM TREM DE POUSO,BRASÍLIA,DF,BRASIL,SBBR,2011-07-19,20:50:00,SIM,SERIPA-6,FINALIZADA,IG-505/CENIPA/2015,1.0,2015-04-15,0,1,,2016-07-30,58,PISTÃO,AVIÃO,2.0,SUBSTANCIAL,PARTICULAR,CORRIDA APÓS POUSO
44,41917,ACIDENTE,POUSO BRUSCO,BRASÍLIA,DF,BRASIL,****,2010-07-19,18:30:00,SIM,SERIPA-6,FINALIZADA,A-037/CENIPA/2011,1.0,2011-07-21,1,1,,2016-07-30,SR22,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,PARTICULAR,POUSO
45,28015,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,BRASÍLIA,DF,BRASIL,****,2006-10-19,20:00:00,SIM,SERIPA-6,ATIVA,A DEFINIR,,,0,1,,2016-07-30,7GCBC,PISTÃO,AVIÃO,1.0,***,PARTICULAR,CRUZEIRO
46,33856,INCIDENTE GRAVE,COM TREM DE POUSO,BRASÍLIA,DF,BRASIL,SBBR,2008-10-10,19:15:00,SIM,SERIPA-6,ATIVA,A DEFINIR,,,0,1,,2016-07-30,412,TURBOEIXO,HELICÓPTERO,2.0,SUBSTANCIAL,TÁXI AÉREO,POUSO
47,26980,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,BRASÍLIA,DF,BRASIL,SBBR,2006-04-28,14:00:00,SIM,SERIPA-6,ATIVA,A DEFINIR,,,0,1,1.0,2016-07-30,737-76N,JATO,AVIÃO,2.0,***,REGULAR,POUSO
48,50999,ACIDENTE,FALHA DE SISTEMA / COMPONENTE,BRASÍLIA,DF,BRASIL,SBBR,2014-03-28,20:42:00,SIM,CENIPA,ATIVA,A-066/CENIPA/2014,,,0,1,,2016-07-30,F28MK0100,JATO,AVIÃO,2.0,SUBSTANCIAL,REGULAR,POUSO
49,45128,ACIDENTE,OUTROS TIPOS,BRASÍLIA,DF,BRASIL,****,2011-08-27,21:00:00,***,SERIPA-6,,,,,0,1,,2016-07-30,SEAMAX M22,PISTÃO,ULTRALEVE,1.0,LEVE,EXPERIMENTAL,POUSO
50,45392,ACIDENTE,PERDA DE CONTROLE EM VOO,BRASÍLIA,DF,BRASIL,****,2012-01-19,21:30:00,SIM,SERIPA-6,FINALIZADA,A-032/CENIPA/2014,1.0,2014-04-07,2,1,,2016-07-30,R44,TURBOEIXO,HELICÓPTERO,1.0,SUBSTANCIAL,PARTICULAR,DECOLAGEM
51,41179,INCIDENTE GRAVE,COM TREM DE POUSO,BRASÍLIA,DF,BRASIL,SBBR,2010-05-20,22:20:00,SIM,SERIPA-6,FINALIZADA,IG-010/CENIPA/2013,1.0,2013-09-22,8,1,,2016-07-30,F28MK0100,JATO,AVIÃO,2.0,SUBSTANCIAL,REGULAR,CORRIDA APÓS POUSO
52,46574,INCIDENTE GRAVE,DESCOMPRESSÃO NÃO INTENCIONAL /  EXPLOSIVA,BRASÍLIA,DF,BRASIL,SBBR,2012-10-24,22:50:00,SIM,CENIPA,ATIVA,A DEFINIR,,,0,1,,2016-07-30,737-3Y0,JATO,AVIÃO,2.0,NENHUM,REGULAR,CRUZEIRO
53,44843,ACIDENTE,PERDA DE CONTROLE NO SOLO,BRASÍLIA,DF,BRASIL,****,2011-05-16,12:00:00,***,SERIPA-6,,,,,0,1,,2016-07-30,RV-9A,PISTÃO,ULTRALEVE,1.0,SUBSTANCIAL,EXPERIMENTAL,POUSO
54,51436,ACIDENTE,COLISÃO DE AERONAVES EM VOO,BRASÍLIA,DF,BRASIL,****,2014-05-19,18:00:00,***,SERIPA-6,,,,,0,2,,2016-07-30,RANS S6ESCOIOTE,PISTÃO,ULTRALEVE,1.0,SUBSTANCIAL,EXPERIMENTAL,MANOBRA
55,31695,INCIDENTE GRAVE,COM TREM DE POUSO,BRASÍLIA,DF,BRASIL,SBBR,2008-02-09,09:40:00,SIM,CENIPA,ATIVA,A DEFINIR,,,0,1,,2016-07-30,707-323C,JATO,AVIÃO,4.0,***,NÃO REGULAR,DECOLAGEM
56,39385,INCIDENTE GRAVE,POUSO SEM TREM,BRASÍLIA,DF,BRASIL,SBBR,2010-02-21,17:00:00,SIM,CENIPA,FINALIZADA,IG-052/CENIPA/2011,1.0,2011-08-01,1,1,,2016-07-30,EMB-711C,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,PARTICULAR,POUSO
57,53203,INCIDENTE GRAVE,POUSO ANTES DA PISTA,BRASÍLIA,DF,BRASIL,SBBR,2015-04-08,16:04:00,SIM,CENIPA,ATIVA,IG-057/CENIPA/2015,,,0,1,,2016-07-30,A320-214,JATO,AVIÃO,2.0,LEVE,REGULAR,POUSO
58,44244,INCIDENTE GRAVE,FALHA DE SISTEMA / COMPONENTE,BRASÍLIA,DF,BRASIL,SBBR,2011-03-30,20:25:00,SIM,SERIPA-6,ATIVA,A DEFINIR,,,0,1,1.0,2016-07-30,S550,JATO,AVIÃO,2.0,LEVE,TÁXI AÉREO,CORRIDA APÓS POUSO
59,52289,INCIDENTE GRAVE,POUSO SEM TREM,BRASÍLIA,DF,BRASIL,****,2014-08-17,15:05:00,SIM,SERIPA-6,FINALIZADA,IG-138/CENIPA/2014,1.0,2015-11-16,0,1,,2016-07-30,95-B55,PISTÃO,AVIÃO,2.0,SUBSTANCIAL,PARTICULAR,POUSO
60,28093,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,BRASÍLIA,DF,BRASIL,****,2006-12-10,16:00:00,SIM,SERIPA-6,FINALIZADA,A-075/CENIPA/2009,1.0,2009-12-30,7,1,,2016-07-30,172L,PISTÃO,AVIÃO,1.0,DESTRUÍDA,PARTICULAR,INDETERMINADA
61,35602,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,JI-PARANÁ,RO,BRASIL,****,2009-01-31,00:15:00,SIM,CENIPA,ATIVA,A DEFINIR,,,0,1,1.0,2016-07-30,F28MK0100,JATO,AVIÃO,2.0,LEVE,REGULAR,CORRIDA APÓS POUSO
62,50831,ACIDENTE,PERDA DE CONTROLE EM VOO,ACREÚNA,GO,BRASIL,****,2012-09-09,20:00:00,SIM,SERIPA-6,FINALIZADA,A-044/CENIPA/2014,1.0,2014-06-03,1,1,,2016-07-30,172N,PISTÃO,AVIÃO,1.0,DESTRUÍDA,PARTICULAR,DECOLAGEM
63,34416,ACIDENTE,OUTROS TIPOS,BUJARI,AC,BRASIL,SBRB,2008-11-01,19:30:00,SIM,SERIPA-7,FINALIZADA,A-056/CENIPA/2010,1.0,2010-07-01,2,1,,2016-07-30,EMB-711C,PISTÃO,AVIÃO,1.0,DESTRUÍDA,PARTICULAR,DESCIDA
64,46419,ACIDENTE,DESORIENTAÇÃO ESPACIAL,CANTÁ,RR,BRASIL,****,2012-09-24,08:00:00,SIM,SERIPA-7,FINALIZADA,A-541/CENIPA/2015,1.0,2015-10-05,0,1,,2016-07-30,210L,PISTÃO,AVIÃO,1.0,DESTRUÍDA,TÁXI AÉREO,DECOLAGEM
65,47154,ACIDENTE,FALHA DO MOTOR EM VOO,PIMENTA BUENO,RO,BRASIL,****,2013-03-11,21:30:00,SIM,SERIPA-7,ATIVA,A-050/CENIPA/2013,,,0,1,,2016-07-30,PA-46R-350T,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,PARTICULAR,DESCIDA
66,52838,ACIDENTE,PERDA DE CONTROLE EM VOO,ÁGUA BOA,MT,BRASIL,****,2014-12-19,16:16:00,SIM,SERIPA-6,ATIVA,A-205/CENIPA/2014,,,0,1,,2016-07-30,EMB-202,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,PARTICULAR,ESPECIALIZADA
67,26960,ACIDENTE,FALHA DO MOTOR EM VOO,ANADIA,AL,BRASIL,****,2006-04-23,13:00:00,SIM,SERIPA-2,FINALIZADA,A-076/CENIPA/2009,1.0,2009-12-30,10,1,,2016-07-30,206B,TURBOEIXO,HELICÓPTERO,1.0,SUBSTANCIAL,TÁXI AÉREO,CRUZEIRO
68,47661,ACIDENTE,COLISÃO COM OBSTÁCULO NO SOLO,ATALAIA DO NORTE,AM,BRASIL,****,2013-04-22,19:00:00,SIM,SERIPA-7,FINALIZADA,A-035/CENIPA/2013,1.0,2013-08-14,2,1,,2016-07-30,EMB-720D,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,TÁXI AÉREO,DECOLAGEM
69,53306,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,ATALAIA DO NORTE,AM,BRASIL,****,2015-05-29,23:17:00,SIM,SERIPA-7,ATIVA,A-081/CENIPA/2015,,,0,1,,2016-07-30,AS 355 N,TURBOEIXO,HELICÓPTERO,2.0,SUBSTANCIAL,TÁXI AÉREO,CRUZEIRO
70,36097,INCIDENTE GRAVE,POUSO EM LOCAL NÃO PREVISTO,ÁGUA BRANCA,PI,BRASIL,****,2009-03-20,19:55:00,SIM,SERIPA-1,FINALIZADA,IG-067/CENIPA/2010,1.0,2010-08-18,4,1,,2016-07-30,EMB-711C,PISTÃO,AVIÃO,1.0,NENHUM,TÁXI AÉREO,DESCIDA
71,44464,ACIDENTE,PERDA DE CONTROLE NO SOLO,ÁGUA CLARA,MS,BRASIL,****,2011-05-01,11:45:00,SIM,SERIPA-5,FINALIZADA,A-090/CENIPA/2011,1.0,2011-09-23,6,1,,2016-07-30,EMB-711ST,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,PARTICULAR,CORRIDA APÓS POUSO
72,46437,ACIDENTE,PERDA DE CONTROLE EM VOO,ÁGUA CLARA,MS,BRASIL,****,2012-08-25,11:30:00,SIM,SERIPA-4,FINALIZADA,A-034/CENIPA/2013,1.0,2013-12-30,2,1,,2016-07-30,210N,PISTÃO,AVIÃO,1.0,DESTRUÍDA,PARTICULAR,CRUZEIRO
73,45277,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,ÁGUA CLARA,MS,BRASIL,****,2011-11-27,10:10:00,SIM,SERIPA-4,FINALIZADA,A-534/CENIPA/2015,1.0,2015-07-14,0,1,,2016-07-30,EMB-201A,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,AGRÍCOLA,ESPECIALIZADA
74,31869,ACIDENTE,POUSO BRUSCO,CRUZEIRO DO SUL,AC,BRASIL,SBCZ,2008-01-29,03:15:00,SIM,SERIPA-7,FINALIZADA,A-045/CENIPA/2010,1.0,2010-06-10,1,1,,2016-07-30,35A,JATO,AVIÃO,2.0,SUBSTANCIAL,TÁXI AÉREO,POUSO
75,39913,INCIDENTE GRAVE,COM PÁRA-BRISAS / JANELA / PORTA,CRUZEIRO DO SUL,AC,BRASIL,SBCZ,2010-03-10,06:17:00,SIM,SERIPA-7,FINALIZADA,IG-131/CENIPA/2011,1.0,2011-12-21,3,1,1.0,2016-07-30,208B,TURBOÉLICE,AVIÃO,1.0,NENHUM,TÁXI AÉREO,DECOLAGEM
76,34855,ACIDENTE,POUSO EM LOCAL NÃO PREVISTO,ADOLFO,SP,BRASIL,****,2008-11-10,17:00:00,SIM,SERIPA-4,FINALIZADA,A-507/CENIPA/2016,1.0,2016-03-18,0,1,,2016-07-30,EMB-721C,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,PARTICULAR,POUSO
77,45913,ACIDENTE,FALHA DO MOTOR EM VOO,ALCÂNTARA,MA,BRASIL,****,2012-05-25,20:45:00,SIM,SERIPA-1,ATIVA,A DEFINIR,,,0,1,,2016-07-30,EMB-712,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,PARTICULAR,SUBIDA
78,53545,INCIDENTE GRAVE,ESTOURO DE PNEU,PORTO VELHO,RO,BRASIL,SBPV,2015-10-23,19:56:00,SIM,SERIPA-7,ATIVA,IG-140/CENIPA/2015,,,0,1,1.0,2016-07-30,B90,TURBOÉLICE,AVIÃO,2.0,NENHUM,PARTICULAR,CORRIDA APÓS POUSO
79,44817,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,PORTO VELHO,RO,BRASIL,SWRO,2011-07-12,21:20:00,SIM,SERIPA-7,FINALIZADA,A-019/CENIPA/2014,1.0,2014-06-02,2,1,,2016-07-30,AB-115,PISTÃO,AVIÃO,1.0,SUBSTANCIAL,INSTRUÇÃO,APROXIMAÇÃO FINAL
80,27633,ACIDENTE,FALHA DO MOTOR EM VOO,PORTO VELHO,RO,BRASIL,SBPV,2006-08-20,12:56:00,SIM,SERIPA-7,ATIVA,A DEFINIR,,,0,1,,2016-07-30,A-37B,***,AVIÃO,0.0,DESTRUÍDA,***,DECOLAGEM
